FEA Data
---------
Element: C3D6
Number of nodes: 0
Number of elements: 0
Strain energy: -2.36398e-05


Strain min: -5.65454e-06 -6.05995e-06 -5.1162e-06 -1.85558e-19 -1.16931e-06 -1.58162e-19 
Strain max: 5.39224e-06 4.65724e-07 1.16509e-05 7.27538e-20 1.30216e-06 2.04999e-19 
Stress min: -0.586588 -0.577551 -0.580182 -6.20594e-16 -0.00391073 -5.28968e-16 
Stress max: 0.543348 0.553012 0.56444 2.43324e-16 0.00435503 6.85616e-16 


Node Strain: 
-----------------
n, e.x, e.y, e.z
0, 0, 0, -1.5734e-06, 
1, 0, 0, -1.5734e-06, 
2, 3.95781e-08, 3.72579e-06, -5.41471e-06, 
3, 3.95781e-08, 3.72579e-06, -5.41471e-06, 
4, 9.38019e-06, 4.16776e-06, -1.48915e-05, 
5, 9.38019e-06, 4.16776e-06, -1.48915e-05, 
6, 1.56126e-05, 9.51248e-07, -1.77218e-05, 
7, 1.56126e-05, 9.51248e-07, -1.77218e-05, 
8, 1.95074e-05, -6.45264e-06, -1.41938e-05, 
9, 1.95074e-05, -6.45264e-06, -1.41938e-05, 
10, -2.87466e-07, -2.74158e-05, 2.72063e-05, 
11, -2.87466e-07, -2.74158e-05, 2.72063e-05, 
12, -9.32021e-06, 1.8629e-06, 7.12323e-06, 
13, -9.32021e-06, 1.8629e-06, 7.12323e-06, 
14, -1.5551e-05, 4.87822e-06, 1.17339e-05, 
15, -1.5551e-05, 4.87822e-06, 1.17339e-05, 
16, -1.94758e-05, 2.20427e-06, 1.83182e-05, 
17, -1.94758e-05, 2.20427e-06, 1.83182e-05, 
18, -2.14703e-05, -3.37721e-06, 2.58755e-05, 
19, -2.14703e-05, -3.37721e-06, 2.58755e-05, 
20, -2.17593e-05, -3.05918e-05, 5.28747e-05, 
21, -2.17593e-05, -3.05918e-05, 5.28747e-05, 
22, -2.1769e-05, -2.42398e-05, 4.66038e-05, 
23, -2.1769e-05, -2.42398e-05, 4.66038e-05, 

Node Stress: 
-----------------
n, s.x, s.y, s.z
0, -0.52096, -0.52096, -0.531485, 
1, -0.52096, -0.52096, -0.531485, 
2, -0.545839, -0.521183, -0.582323, 
3, -0.545839, -0.521183, -0.582323, 
4, -0.382125, -0.41699, -0.544477, 
5, -0.382125, -0.41699, -0.544477, 
6, -0.278968, -0.377037, -0.50194, 
7, -0.278968, -0.377037, -0.50194, 
8, -0.246666, -0.420312, -0.472093, 
9, -0.246666, -0.420312, -0.472093, 
10, -0.166484, -0.347945, 0.0174201, 
11, -0.166484, -0.347945, 0.0174201, 
12, -0.172959, -0.0981553, -0.0629691, 
13, -0.172959, -0.0981553, -0.0629691, 
14, 0.2473, 0.383951, 0.429808, 
15, 0.2473, 0.383951, 0.429808, 
16, 0.216305, 0.361321, 0.469107, 
17, 0.216305, 0.361321, 0.469107, 
18, 0.196734, 0.317758, 0.513428, 
19, 0.196734, 0.317758, 0.513428, 
20, 0.0277944, -0.0312858, 0.527019, 
21, 0.0277944, -0.0312858, 0.527019, 
22, 0.0513669, 0.0348403, 0.50871, 
23, 0.0513669, 0.0348403, 0.50871, 
