           n            f          f.x          f.y          f.z           fi         fi.x         fi.y         fi.z            u          u.x          u.y          u.z 
           0            1            0            0            1            1 -8.52651e-14 -1.42109e-13            1   0.00359061 -0.000252526 -0.000252526    0.0035728
           1            1            0            0            1            1  -1.7053e-13 -2.31037e-13            1   0.00342099 -0.000182032 -0.000141813    0.0034132
           2            1            0            0            1            1 -3.33955e-13 -2.34479e-13            1   0.00337529 -0.000160937 -4.59047e-05   0.00337114
           3            1            0            0            1            1 -1.42109e-13  -2.4869e-13            1   0.00337529 -0.000160937  4.59047e-05   0.00337114
           4            1            0            0            1            1 -2.84217e-13 -2.54574e-13            1   0.00342099 -0.000182032  0.000141813    0.0034132
           5            1            0            0            1            1 -8.52651e-14 -1.42109e-13            1   0.00359061 -0.000252526  0.000252526    0.0035728
           6            0            0            0            0   2.6165e-13  -9.9476e-14 -1.56319e-13  1.84741e-13   0.00335456   -0.0002168   -0.0002168   0.00334052
           7            0            0            0            0  5.36354e-13 -2.62901e-13 -3.41061e-13  3.19744e-13   0.00325331 -0.000174297 -0.000116923   0.00324654
           8            0            0            0            0  5.20251e-13 -3.12639e-13 -3.48166e-13  2.27374e-13   0.00321954 -0.000169672 -3.67278e-05   0.00321486
           9            0            0            0            0  4.45208e-13 -2.55795e-13 -3.54272e-13  8.52651e-14   0.00321954 -0.000169672  3.67278e-05   0.00321486
          10            0            0            0            0  4.63737e-13 -3.12639e-13 -3.42504e-13            0   0.00325331 -0.000174297  0.000116923   0.00324654
          11            0            0            0            0  2.48182e-13 -5.68434e-14 -1.13687e-13 -2.13163e-13   0.00335456   -0.0002168    0.0002168   0.00334052
          12            0            0            0            0  3.09718e-13 -1.27898e-13 -2.13163e-13  1.84741e-13   0.00315022 -0.000202341 -0.000202341    0.0031372
          13            0            0            0            0  3.38833e-13 -2.20268e-13 -1.63425e-13  1.98952e-13   0.00309385 -0.000175478 -0.000113799   0.00308677
          14            0            0            0            0  3.73829e-13 -1.13687e-13  -1.7053e-13  3.12639e-13   0.00307044 -0.000167676 -3.65093e-05   0.00306564
          15            0            0            0            0  3.09152e-13 -1.42109e-13 -2.49911e-13  1.13687e-13   0.00307044 -0.000167676  3.65093e-05   0.00306564
          16            0            0            0            0  3.22307e-13 -2.55795e-13 -1.35114e-13 -1.42109e-13   0.00309385 -0.000175478  0.000113799   0.00308677
          17            0            0            0            0  1.31786e-13 -2.84217e-14 -1.27898e-13  1.42109e-14   0.00315022 -0.000202341  0.000202341    0.0031372
          18            0            0            0            0  2.20983e-13 -2.13163e-14 -1.13687e-13  1.88294e-13   0.00297167 -0.000191492 -0.000191492   0.00295931
          19            0            0            0            0  3.06852e-13 -1.13687e-13 -2.13163e-14  2.84217e-13   0.00294025 -0.000176492  -0.00011069   0.00293286
          20            0            0            0            0  1.35108e-13            0 -1.04805e-13  8.52651e-14   0.00292512 -0.000169582  -3.6114e-05   0.00291998
          21            0            0            0            0  7.12826e-14 -2.84217e-14 -5.88696e-14 -2.84217e-14   0.00292512 -0.000169582   3.6114e-05   0.00291998
          22            0            0            0            0   4.1874e-14 -2.84217e-14  1.17406e-14  2.84217e-14   0.00294025 -0.000176492   0.00011069   0.00293286
          23            0            0            0            0  1.62651e-13  4.26326e-14  1.42109e-14 -1.56319e-13   0.00297167 -0.000191492  0.000191492   0.00295931
          24            0            0            0            0  2.14108e-13  1.42109e-14  1.42109e-14  2.13163e-13   0.00280918 -0.000185359 -0.000185359   0.00279692
          25            0            0            0            0  3.14933e-13            0 -3.79453e-14  3.12639e-13   0.00279079 -0.000177013 -0.000108983   0.00278304
          26            0            0            0            0  1.43643e-13            0 -2.09416e-14  1.42109e-13   0.00278123 -0.000171952 -3.59091e-05   0.00277567
          27            0            0            0            0  1.34276e-13 -5.68434e-14  1.07553e-13  5.68434e-14   0.00278123 -0.000171952  3.59091e-05   0.00277567
          28            0            0            0            0   2.7095e-13  1.13687e-13  9.37583e-14 -2.27374e-13   0.00279079 -0.000177013  0.000108983   0.00278304
          29            0            0            0            0  1.37779e-13  2.84217e-14  4.26326e-14 -1.27898e-13   0.00280918 -0.000185359  0.000185359   0.00279692
          30            0            0            0            0  1.34065e-13  8.52651e-14  2.84217e-14   9.9476e-14   0.00265566 -0.000181916 -0.000181916   0.00264317
          31            0            0            0            0  1.84129e-13   1.7053e-13   6.3366e-14 -2.84217e-14     0.002644 -0.000177321  -0.00010797   0.00263584
          32            0            0            0            0  1.77174e-13  1.13687e-13  1.23429e-13  5.68434e-14   0.00263784 -0.000174031 -3.57735e-05   0.00263185
          33            0            0            0            0  2.46779e-13  1.13687e-13  2.01755e-13  8.52651e-14   0.00263784 -0.000174031  3.57735e-05   0.00263185
          34            0            0            0            0  2.18109e-13  1.13687e-13   1.7053e-13  -7.4607e-14     0.002644 -0.000177321   0.00010797   0.00263584
          35            0            0            0            0    1.037e-13  5.68434e-14  7.10543e-14  -4.9738e-14   0.00265566 -0.000181916  0.000181916   0.00264317
          36            0            0            0            0  8.78893e-14  4.26326e-14  4.26326e-14  6.39488e-14   0.00250705 -0.000180053 -0.000180053   0.00249409
          37            0            0            0            0  2.40838e-13  1.13687e-13  1.26482e-13   1.7053e-13   0.00249883 -0.000177536 -0.000107411    0.0024902
          38            0            0            0            0  2.75542e-13   1.7053e-13  2.14558e-13  2.84217e-14   0.00249459 -0.000175573  -3.5693e-05   0.00248815
          39            0            0            0            0  2.71428e-13  1.63425e-13  2.13163e-13  3.90799e-14   0.00249459 -0.000175573   3.5693e-05   0.00248815
