FEA Data
---------
Element: C3D8
Number of nodes: 0
Number of elements: 0
Strain energy: 0.00134996


Strain min: -8.88914e-05 -8.88914e-05 0 -4.24545e-18 -1.30168e-05 -1.30168e-05 
Strain max: 0 0 0.000180183 4.29479e-18 1.30168e-05 1.30168e-05 
Stress min: 0 0 0 -1.41988e-14 -0.0435345 -0.0435345 
Stress max: 1.51394 1.51394 2 1.43639e-14 0.0435345 0.0435345 


Node Strain: 
-----------------
n, e.x, e.y, e.z
0, -0.000355566, -0.000355566, 0.000720733, 
1, -0.000355566, -0.000355566, 0.000720733, 
2, -0.000695453, -0.000695453, 0.00141073, 
3, -0.000695453, -0.000695453, 0.00141073, 
4, -0.00064234, -0.00064234, 0.00130661, 
5, -0.00064234, -0.00064234, 0.00130661, 
6, -0.000531196, -0.000531196, 0.00108872, 
7, -0.000531196, -0.000531196, 0.00108872, 
8, -0.000318927, -0.000318927, 0.00067259, 
9, -0.000318927, -0.000318927, 0.00067259, 
10, -9.01831e-05, -9.01831e-05, 0.000200478, 
11, -9.01831e-05, -9.01831e-05, 0.000200478, 
12, -0.000355566, -0.000355566, 0.000720733, 
13, -0.000355566, -0.000355566, 0.000720733, 
14, -0.000695453, -0.000695453, 0.00141073, 
15, -0.000695453, -0.000695453, 0.00141073, 
16, -0.00064234, -0.00064234, 0.00130661, 
17, -0.00064234, -0.00064234, 0.00130661, 
18, -0.000531196, -0.000531196, 0.00108872, 
19, -0.000531196, -0.000531196, 0.00108872, 
20, -0.000318927, -0.000318927, 0.00067259, 
21, -0.000318927, -0.000318927, 0.00067259, 
22, -9.01831e-05, -9.01831e-05, 0.000200478, 
23, -9.01831e-05, -9.01831e-05, 0.000200478, 

Node Stress: 
-----------------
n, s.x, s.y, s.z
0, 0.800678, 0.800678, 8, 
1, 0.800678, 0.800678, 8, 
2, 1.91182, 1.91182, 16, 
3, 1.91182, 1.91182, 16, 
4, 2.96357, 2.96357, 16, 
5, 2.96357, 2.96357, 16, 
6, 5.16443, 5.16443, 16, 
7, 5.16443, 5.16443, 16, 
8, 9.36778, 9.36778, 16, 
9, 9.36778, 9.36778, 16, 
10, 6.05578, 6.05578, 8, 
11, 6.05578, 6.05578, 8, 
12, 0.800678, 0.800678, 8, 
13, 0.800678, 0.800678, 8, 
14, 1.91182, 1.91182, 16, 
15, 1.91182, 1.91182, 16, 
16, 2.96357, 2.96357, 16, 
17, 2.96357, 2.96357, 16, 
18, 5.16443, 5.16443, 16, 
19, 5.16443, 5.16443, 16, 
20, 9.36778, 9.36778, 16, 
21, 9.36778, 9.36778, 16, 
22, 6.05578, 6.05578, 8, 
23, 6.05578, 6.05578, 8, 
