           n          f.x          f.y          f.z         fi.x         fi.y         fi.z          u.x          u.y          u.z 
           0            0            0            1  1.12059e-14 -5.34764e-15            1 -6.83027e-05 -6.83027e-05  0.000579308
           1            0            0            1  1.17713e-16 -5.38183e-15            1 -6.83027e-05  6.83027e-05  0.000579308
           2            0            0            0  1.24438e-15   6.0793e-15 -8.63283e-15 -6.23513e-05 -6.23513e-05  0.000311333
           3            0            0            0 -6.63688e-15  -2.4244e-15   9.5496e-15 -6.23513e-05  6.23513e-05  0.000311333
           4            0            0            0 -1.08475e-15  2.20087e-15  6.35013e-15 -4.21896e-05 -4.21896e-05  9.45499e-05
           5            0            0            0   4.5613e-15 -2.01539e-15  5.44972e-16 -4.21896e-05  4.21896e-05  9.45499e-05
           6            0            0            0            0            0            0            0            0            0
           7            0            0            0            0            0            0            0            0            0
           8            0            0            1  -4.7381e-15  4.15932e-15            1  6.83027e-05 -6.83027e-05  0.000579308
           9            0            0            1  4.57981e-15 -6.56722e-15            1  6.83027e-05  6.83027e-05  0.000579308
          10            0            0            0  5.51915e-15 -4.51655e-15 -2.13364e-14  6.23513e-05 -6.23513e-05  0.000311333
          11            0            0            0  6.94137e-15  2.94457e-15  4.54025e-15  6.23513e-05  6.23513e-05  0.000311333
          12            0            0            0  3.29732e-15 -3.17477e-15  1.12031e-14  4.21896e-05 -4.21896e-05  9.45499e-05
          13            0            0            0 -3.25603e-15 -1.52461e-15  5.60154e-15  4.21896e-05  4.21896e-05  9.45499e-05
          14            0            0            0            0            0            0            0            0            0
          15            0            0            0            0            0            0            0            0            0
