FEA Data
---------
Element: C3D6
Number of nodes: 24
Number of elements: 10
Strain energy: 3077.42


Strain min: -2.44209e-17 -5.02439e-17 -1.22125e-16 -1.68154e-16 -3.13899e-16 0 
Strain max: 4.24031e-17 8.58994e-17 1.22125e-16 3.21599e-16 2.58388e-16 0.1 
Stress min: -1.08623e-12 -1.38366e-12 -1.85119e-12 -6.46745e-13 -1.2073e-12 0 
Stress max: 9.39012e-13 1.48581e-12 1.70322e-12 1.23692e-12 9.93799e-13 384.615 
U min: -3.58536e-16 -9.64035e-17 0 
U max: 0 6.44291e-17 0.5 


Node Dislacements: 
-----------------
n, u, u.x, u.y, u.z
0, 0, 0, 0, 0, 
1, 0, 0, 0, 0, 
2, 0.1, -8.3812e-17, -5.22825e-19, 0.1, 
3, 0.1, -8.97031e-17, 1.62371e-17, 0.1, 
4, 0.2, -2.06063e-16, -4.31641e-17, 0.2, 
5, 0.2, -2.19348e-16, -9.22154e-18, 0.2, 
6, 0.3, -3.2771e-16, -6.98834e-17, 0.3, 
7, 0.3, -3.58536e-16, -1.42749e-18, 0.3, 
8, 0.4, -2.87953e-16, -7.53953e-17, 0.4, 
9, 0.4, -2.65129e-16, -9.64035e-17, 0.4, 
10, 0.5, 0, 0, 0.5, 
11, 0.5, 0, 0, 0.5, 
12, 0, 0, 0, 0, 
13, 0, 0, 0, 0, 
14, 0.1, -1.7017e-16, -3.20454e-17, 0.1, 
15, 0.1, -1.67771e-16, -1.77452e-17, 0.1, 
16, 0.2, -2.51065e-16, 1.40496e-18, 0.2, 
17, 0.2, -2.65479e-16, -2.07029e-18, 0.2, 
18, 0.3, -2.45188e-16, -5.72199e-17, 0.3, 
19, 0.3, -2.36167e-16, 3.15345e-17, 0.3, 
20, 0.4, -7.07031e-17, -1.32539e-17, 0.4, 
21, 0.4, -7.01192e-17, 6.44291e-17, 0.4, 
22, 0.5, 0, 0, 0.5, 
23, 0.5, 0, 0, 0.5, 

Node Strain: 
-----------------
n, e, e.x, e.y, e.z
0, 3.14286e-17, 0, 3.14286e-17, 0, 
1, 3.14286e-17, 0, 3.14286e-17, 0, 
2, 2.07712e-16, 1.65817e-17, -2.04352e-16, -3.33067e-17, 
3, 2.07712e-16, 1.65817e-17, -2.04352e-16, -3.33067e-17, 
4, 8.12817e-17, 9.52327e-18, -7.58001e-17, 2.77556e-17, 
5, 8.12817e-17, 9.52327e-18, -7.58001e-17, 2.77556e-17, 
6, 5.68016e-16, 1.06262e-16, -2.88866e-16, 4.77396e-16, 
7, 5.68016e-16, 1.06262e-16, -2.88866e-16, 4.77396e-16, 
8, 6.19726e-16, 1.71719e-17, 2.96343e-16, -5.44009e-16, 
9, 6.19726e-16, 1.71719e-17, 2.96343e-16, -5.44009e-16, 
10, 2.9059e-16, -4.5648e-17, 2.41247e-16, 1.55431e-16, 
11, 2.9059e-16, -4.5648e-17, 2.41247e-16, 1.55431e-16, 
12, 1.44806e-16, 4.79961e-18, -6.81525e-17, -1.27676e-16, 
13, 1.44806e-16, 4.79961e-18, -6.81525e-17, -1.27676e-16, 
14, 5.29039e-16, -1.22462e-17, -1.37531e-16, -5.10703e-16, 
15, 5.29039e-16, -1.22462e-17, -1.37531e-16, -5.10703e-16, 
16, 4.11216e-16, 1.57814e-17, 1.03598e-17, 4.10783e-16, 
17, 4.11216e-16, 1.57814e-17, 1.03598e-17, 4.10783e-16, 
18, 2.55555e-16, 8.08602e-17, -9.72946e-17, -2.22045e-16, 
19, 2.55555e-16, 8.08602e-17, -9.72946e-17, -2.22045e-16, 
20, 4.19199e-16, -4.44803e-17, 3.94968e-16, -1.33227e-16, 
21, 4.19199e-16, -4.44803e-17, 3.94968e-16, -1.33227e-16, 
22, 1.0235e-16, 0, -1.0235e-16, -1.47911e-31, 
23, 1.0235e-16, 0, -1.0235e-16, -1.47911e-31, 

Node Stress: 
-----------------
n, s, s.x, s.y, s.z
0, 4.94719e-13, 1.81319e-13, 4.23077e-13, 1.81319e-13, 
1, 4.94719e-13, 1.81319e-13, 4.23077e-13, 1.81319e-13, 
2, 3.43092e-12, -1.1479e-12, -2.84739e-12, -1.53165e-12, 
3, 3.43092e-12, -1.1479e-12, -2.84739e-12, -1.53165e-12, 
4, 8.19026e-13, -1.48982e-13, -8.05315e-13, -8.73331e-15, 
5, 8.19026e-13, -1.48982e-13, -8.05315e-13, -8.73331e-15, 
6, 5.95666e-12, 2.51811e-12, -5.21331e-13, 5.37299e-12, 
7, 5.95666e-12, 2.51811e-12, -5.21331e-13, 5.37299e-12, 
8, 5.7224e-12, -1.19768e-12, 9.49787e-13, -5.51446e-12, 
9, 5.7224e-12, -1.19768e-12, 9.49787e-13, -5.51446e-12, 
10, 5.3139e-12, 1.67404e-12, 3.88092e-12, 3.2208e-12, 
11, 5.3139e-12, 1.67404e-12, 3.88092e-12, 3.2208e-12, 
12, 2.85017e-12, -1.06517e-12, -1.62634e-12, -2.08421e-12, 
13, 2.85017e-12, -1.06517e-12, -1.62634e-12, -2.08421e-12, 
14, 9.94177e-12, -3.90466e-12, -4.86839e-12, -7.73894e-12, 
15, 9.94177e-12, -3.90466e-12, -4.86839e-12, -7.73894e-12, 
16, 6.7832e-12, 2.64211e-12, 2.6004e-12, 5.68058e-12, 
17, 6.7832e-12, 2.64211e-12, 2.6004e-12, 5.68058e-12, 
18, 3.81982e-12, -7.53839e-13, -2.12426e-12, -3.08388e-12, 
19, 3.81982e-12, -7.53839e-13, -2.12426e-12, -3.08388e-12, 
20, 4.39328e-12, 9.11275e-13, 4.29165e-12, 2.2861e-13, 
21, 4.39328e-12, 9.11275e-13, 4.29165e-12, 2.2861e-13, 
22, 1.6111e-12, -5.90483e-13, -1.37779e-12, -5.90483e-13, 
23, 1.6111e-12, -5.90483e-13, -1.37779e-12, -5.90483e-13, 
