FEA Data
---------
Element: C3D6
Number of nodes: 24
Number of elements: 10
Strain energy: 62968.4


Strain min: -0.0987096 -0.0588482 0 -0.0172482 -0.0915036 -0.118261 
Strain max: 0 0.0116291 0.138999 0.132241 0.124201 0.11811 
Stress min: -9700.6 -9368.37 -8784.77 -58.2709 -309.134 -399.53 
Stress max: 8557.67 8646.42 9283.19 446.761 419.597 399.021 
U min: -0.0486938 -0.0240198 0 
U max: 0.0128778 0.0489209 0.5 


Node Dislacements: 
-----------------
n, u, u.x, u.y, u.z
0, 0, 0, 0, 0, 
1, 0, 0, 0, 0, 
2, 0, 0, 0, 0, 
3, 0, 0, 0, 0, 
4, 0.104197, 0.00434292, -0.0193412, 0.102294, 
5, 0.0827805, 0.0107837, -0.0100453, 0.081458, 
6, 0.0899249, -0.0369617, 0.039662, 0.0717444, 
7, 0.0716722, 0.0128778, -0.0180843, 0.068147, 
8, 0.21557, -0.00128903, -0.0182794, 0.21479, 
9, 0.197867, 0.011816, -0.00995883, 0.197263, 
10, 0.19982, -0.0451947, 0.0457439, 0.18919, 
11, 0.185071, 0.00957171, -0.0240198, 0.183256, 
12, 0.32961, -0.00240849, -0.0158511, 0.32922, 
13, 0.313463, 0.00844454, -0.0048404, 0.313312, 
14, 0.316853, -0.0486938, 0.0489209, 0.309243, 
15, 0.298894, 0.00752533, -0.0209482, 0.298064, 
16, 0.445523, -0.013486, -0.00381983, 0.445302, 
17, 0.426295, 0.00437474, -0.00403377, 0.426254, 
18, 0.431345, -0.0465164, 0.0445502, 0.426509, 
19, 0.416349, 0.00476122, -0.0155908, 0.41603, 
20, 0.5, 0, 0, 0.5, 
21, 0.5, 0, 0, 0.5, 
22, 0.5, 0, 0, 0.5, 
23, 0.5, 0, 0, 0.5, 

Node Strain: 
-----------------
n, e, e.x, e.y, e.z
0, 0.304071, -0.102826, -0.0870713, 0.272588, 
1, 0.623618, -0.202505, -0.186486, 0.559566, 
2, 0.319649, -0.0996789, -0.0994146, 0.286978, 
3, 0.623618, -0.202505, -0.186486, 0.559566, 
4, 0.671595, -0.239063, -0.195334, 0.596434, 
5, 1.54499, -0.547953, -0.505569, 1.3532, 
6, 0.874269, -0.308891, -0.310235, 0.756761, 
7, 1.54499, -0.547953, -0.505569, 1.3532, 
8, 0.749439, -0.280621, -0.226572, 0.656944, 
9, 1.87608, -0.711804, -0.65632, 1.60694, 
10, 1.12831, -0.431183, -0.429748, 0.949995, 
11, 1.87608, -0.711804, -0.65632, 1.60694, 
12, 0.798518, -0.332191, -0.253819, 0.680335, 
13, 1.92514, -0.769155, -0.677438, 1.62961, 
14, 1.12761, -0.436965, -0.423618, 0.949276, 
15, 1.92514, -0.769155, -0.677438, 1.62961, 
16, 0.665274, -0.315255, -0.151049, 0.566028, 
17, 1.54012, -0.632804, -0.452908, 1.32906, 
18, 0.879868, -0.317549, -0.301858, 0.763028, 
19, 1.54012, -0.632804, -0.452908, 1.32906, 
20, 0.25368, -0.127448, -0.0155394, 0.21879, 
21, 0.573167, -0.230004, -0.112707, 0.512753, 
22, 0.32615, -0.102555, -0.097168, 0.293963, 
23, 0.573167, -0.230004, -0.112707, 0.512753, 

Node Stress: 
-----------------
n, s, s.x, s.y, s.z
0, 12106.6, 6009.88, 6116.33, 8546.46, 
1, 24969.4, 12462.1, 12570.3, 17611.2, 
2, 12862.9, 6452.22, 6454, 9064.76, 
3, 24969.4, 12462.1, 12570.3, 17611.2, 
4, 23815.8, 11522.9, 11818.3, 17168.1, 
5, 44480.6, 20595.4, 20881.8, 33441, 
6, 20718.7, 9072.55, 9063.47, 16272.9, 
7, 44480.6, 20595.4, 20881.8, 33441, 
8, 22192.1, 10245.8, 10611, 16580.7, 
9, 36714.9, 14553.8, 14928.7, 30221, 
10, 14941.8, 4308, 4317.69, 13640.3, 
11, 36714.9, 14553.8, 14928.7, 30221, 
12, 14640.1, 5403.45, 5932.99, 12244.8, 
13, 29436.6, 9642.29, 10262, 25850.2, 
14, 14893.4, 4238.83, 4329.01, 13605.3, 
15, 29436.6, 9642.29, 10262, 25850.2, 
16, 15074.5, 5955.63, 7065.12, 11910.2, 
17, 36620.6, 15454.9, 16670.4, 28710.7, 
18, 21558.2, 9499.3, 9605.32, 16800.5, 
19, 36620.6, 15454.9, 16670.4, 28710.7, 
20, 11070.6, 5284.98, 6041.13, 7624.43, 
21, 24838.3, 12233.1, 13025.7, 17251.7, 
22, 13774.8, 6948.13, 6984.53, 9627.31, 
23, 24838.3, 12233.1, 13025.7, 17251.7, 
