           n            f          f.x          f.y          f.z           fi         fi.x         fi.y         fi.z            u          u.x          u.y          u.z 
           0            0            0            0            0            0            0            0            0            0            0            0            0
           1            0            0            0            0            0            0            0            0            0            0            0            0
           2            0            0            0            0            0            0            0            0            0            0            0            0
           3            0            0            0            0            0            0            0            0            0            0            0            0
           4            0            0            0            0  4.31788e-11 -3.24285e-11  2.48042e-11  1.40554e-11     0.104197   0.00434292   -0.0193412     0.102294
           5            0            0            0            0  4.05568e-11  4.34882e-12  3.92098e-11  9.40912e-12    0.0827805    0.0107837   -0.0100453     0.081458
           6            0            0            0            0  1.23584e-10  2.58927e-11 -3.36312e-11 -1.16067e-10    0.0899249   -0.0369617     0.039662    0.0717444
           7            0            0            0            0  1.51061e-11 -1.68212e-12 -1.43887e-11 -4.28166e-12    0.0716722    0.0128778   -0.0180843     0.068147
           8            0            0            0            0  4.47423e-11  3.03451e-11 -1.87529e-11  2.70071e-11      0.21557  -0.00128903   -0.0182794      0.21479
           9            0            0            0            0  6.85472e-11 -1.98677e-11  6.55279e-11 -3.17725e-12     0.197867     0.011816  -0.00995883     0.197263
          10            0            0            0            0  1.18848e-10  3.23037e-11 -1.66663e-11  1.13153e-10      0.19982   -0.0451947    0.0457439      0.18919
          11            0            0            0            0  5.45005e-11 -1.02113e-11 -2.12251e-11  -4.9148e-11     0.185071   0.00957171   -0.0240198     0.183256
          12            0            0            0            0  1.49915e-10  -1.1011e-11 -8.36946e-11 -1.23889e-10      0.32961  -0.00240849   -0.0158511      0.32922
          13            0            0            0            0  3.79355e-11 -5.22039e-13  1.85509e-11  3.30862e-11     0.313463   0.00844454   -0.0048404     0.313312
          14            0            0            0            0  2.16278e-11   1.1019e-11 -1.81639e-11  4.05185e-12     0.316853   -0.0486938    0.0489209     0.309243
          15            0            0            0            0  3.64277e-11 -3.14397e-12  3.52615e-11 -8.58575e-12     0.298894   0.00752533   -0.0209482     0.298064
          16       117097     -57432.4      30405.4      97409.9       117097     -57432.4      30405.4      97409.9     0.445523    -0.013486  -0.00381983     0.445302
          17      72887.8     -25900.9     -68130.6 -2.54659e-11      72887.8     -25900.9     -68130.6 -8.87216e-11     0.426295   0.00437474  -0.00403377     0.426254
          18       209786       -81081        81081       175676       209786       -81081        81081       175676     0.431345   -0.0465164    0.0445502     0.426509
          19       122222       122185     -1126.13     -2815.32       122222       122185     -1126.13     -2815.32     0.416349   0.00476122   -0.0155908      0.41603
          20          0.5            0            0          0.5          0.5            0            0          0.5          0.5            0            0          0.5
          21          0.5            0            0          0.5          0.5            0            0          0.5          0.5            0            0          0.5
          22          0.5            0            0          0.5          0.5            0            0          0.5          0.5            0            0          0.5
          23          0.5            0            0          0.5          0.5            0            0          0.5          0.5            0            0          0.5
