FEA Data
---------
Element: C3D6
Number of nodes: 6
Number of elements: 1
Strain energy: 0.375


Strain min: 0 0 0 0 0 0 
Strain max: 0 0 0.25 0 0 0 
Stress min: 0 0 0 0 0 0 
Stress max: 20270.3 20270.3 21959.4 0 0 0 
U min: 0 0 0 
U max: 0 0 0.5 


Node Dislacements: 
-----------------
n, u, u.x, u.y, u.z
0, 0, 0, 0, 0, 
1, 0, 0, 0, 0, 
2, 0, 0, 0, 0, 
3, 0.5, 0, 0, 0.5, 
4, 0.5, 0, 0, 0.5, 
5, 0.5, 0, 0, 0.5, 

Node Strain: 
-----------------
n, e, e.x, e.y, e.z
0, 1, 0, 0, 1, 
1, 1, 0, 0, 1, 
2, 1, 0, 0, 1, 
3, 1, 0, 0, 1, 
4, 1, 0, 0, 1, 
5, 1, 0, 0, 1, 

Node Stress: 
-----------------
n, s, s.x, s.y, s.z
0, 144443, 81081, 81081, 87837.8, 
1, 144443, 81081, 81081, 87837.8, 
2, 144443, 81081, 81081, 87837.8, 
3, 144443, 81081, 81081, 87837.8, 
4, 144443, 81081, 81081, 87837.8, 
5, 144443, 81081, 81081, 87837.8, 
